rank,asteroid_id,name,risk_score,is_potentially_hazardous,diameter_km,velocity_kps,miss_distance_km,encounter_frequency,diameter_norm,velocity_norm,miss_distance_norm,encounter_frequency_norm
1,2000433,433 Eros (A898 PA),0.47486738474228946,0,35.77195014895,3.7288508677,59487215.18111953,1,1.0,0.06683322542582884,0.20500246552374546,0.0
2,2066008,66008 (1998 QH2),0.41663964309288337,0,2.8024806126,34.0797637633,11613384.883284358,1,0.07830454161497807,0.6571851146319658,0.8462693450683301,0.0
3,3843476,(2019 PJ),0.4105797306878788,0,0.07542974105,28.5347139739,3719706.128269426,2,0.002067027380139761,0.5493290303627856,0.9520046645918382,0.14285714285714285
4,3696402,(2014 WF6),0.4069927062203567,0,0.0564342317,26.6555339952,2740298.402763745,2,0.001535988363018119,0.5127773307681179,0.9651237681193721,0.14285714285714285
5,54554706,(2025 US6),0.4069573659559895,0,0.0027036011,2.0778105908,136610.515956163,8,3.389327636280797e-05,0.03471904322722219,1.0,1.0
6,3830890,(2018 SP2),0.40487519809230005,0,0.04715661435,21.6256044449,1927097.426378009,3,0.0012766230199785186,0.41494078717526084,0.976016542926093,0.2857142857142857
7,2415029,415029 (2011 UL21),0.404730362564048,1,2.8024806126,25.8822253932,6641211.608175886,1,0.07830454161497807,0.4977357998691828,0.912871286480734,0.0
8,3617076,(2012 VC26),0.402218861599334,0,0.007826050000000001,20.6704894903,5109065.020100448,4,0.00017709660821301902,0.3963629631804219,0.9333942915427386,0.42857142857142855
9,2465402,465402 (2008 HW1),0.4015004854145606,0,1.4306803651,38.7813818691,16114897.603338124,1,0.03995445361801551,0.7486357125310226,0.7859718715371664,0.0
10,3906633,(2019 XF2),0.4009281810981346,0,0.01635093595,19.9380134892,1189881.052830532,3,0.0004154185701330396,0.3821156622002188,0.9858915088620303,0.2857142857142857
11,3827174,(2018 RB1),0.4007970364362272,0,0.01131208385,21.973130086,3178632.384009724,3,0.0002745522728781401,0.4217004658536805,0.959252312616371,0.2857142857142857
12,3731242,(2015 TD323),0.39939927040487216,1,0.4441632445,40.4200435421,19033903.811469644,2,0.012375352029086729,0.7805091200213613,0.7468719710108362,0.14285714285714285
13,3843136,(2019 NG2),0.398735516342907,0,0.0653947098,30.8895666165,8918882.14343415,2,0.001786487751873096,0.5951329806802903,0.8823620360679514,0.14285714285714285
14,2276033,276033 (2002 AJ129),0.39847088481114035,1,0.7612768386,37.7035308651,13962597.907108461,1,0.021240588976616924,0.7276705646726074,0.8148017876199071,0.0
15,3370278,(2007 EK),0.3975733150934647,0,0.005936666,22.2032872016,4188706.356404149,3,0.00012427693363422932,0.4261772237184626,0.9457224366829664,0.2857142857142857
16,2439437,439437 (2013 NK4),0.39620616880108767,1,0.7007169401,22.5641455732,3256650.994287438,2,0.01954757467603296,0.43319623570478066,0.9582072583466804,0.14285714285714285
17,2504034,504034 (2005 UJ159),0.3940095043304894,1,1.3229475211,31.8145429339,10934840.869149815,1,0.03694267106797405,0.6131245817344776,0.8553583985213475,0.0
18,3781983,(2017 SA20),0.38862071669444914,0,0.0091525607,17.0783532909,1464210.889195511,3,0.0002141805802903111,0.3264927619480573,0.9822168783376433,0.2857142857142857
19,3892775,(2019 VB5),0.38792961188699654,0,0.00196581485,18.491130924,2983862.973409827,3,1.326770229543704e-05,0.35397252664566775,0.9618612363517208,0.2857142857142857
20,3703792,(2015 BF),0.3871431740789683,0,0.0205846088,25.6759881383,6631829.233683735,2,0.0005337752526338214,0.4937243042850565,0.9129969627839641,0.14285714285714285
21,2488789,488789 (2004 XK50),0.38613624142005876,1,0.6879274146000001,28.5412905015,7958263.237210054,1,0.01919003032563774,0.5494569495956083,0.89522946456894,0.0
22,3781451,(2017 RK15),0.38458716398586845,0,0.03144434965,20.7037832782,6039668.355371365,3,0.000837370486692641,0.39701055657088113,0.9209289196852887,0.2857142857142857
23,2144900,144900 (2004 VG64),0.38375096221573773,1,0.953987352,28.4759615044,12783978.566971743,2,0.026628009747460483,0.5481862432748269,0.8305893179202463,0.14285714285714285
24,2363599,363599 (2004 FG11),0.38287189044433373,1,0.26640515045,25.0712868385,7793401.552458853,2,0.007405941532614394,0.4819623333693781,0.8974377762389935,0.14285714285714285
25,54427459,(2024 BY15),0.3821806719842233,0,0.0189470943,14.9767551589,4614580.600333994,4,0.00048799684919225025,0.2856148340963995,0.9400178785604121,0.42857142857142855
26,3683472,(2014 QZ295),0.38182879288053223,0,0.04715661435,24.6015189048,14098102.460971503,4,0.0012766230199785186,0.4728249348304213,0.8129867128310456,0.42857142857142855
27,3836314,(2018 WX1),0.38059000706304746,0,0.06390614450000001,21.3288930003,7729845.585539555,3,0.0017448733766400688,0.4091694892089949,0.8982891043305462,0.2857142857142857
28,2523609,523609 (2005 PJ2),0.38048351956014453,1,0.53400167205,22.9484601531,7077354.070385087,2,0.014886877747448466,0.44067149152571244,0.9070291862343614,0.14285714285714285
29,3633188,(2013 FW13),0.3797059408025495,1,0.19931620835000002,19.7564637028,3249430.189338491,2,0.005530401097447555,0.3785843595420458,0.9583039805648235,0.14285714285714285
30,2837253,837253 (2013 FW13),0.37970592263348485,1,0.19931620835000002,19.7564590323,3249430.189338491,2,0.005530401097447555,0.37858426869672235,0.9583039805648235,0.14285714285714285
31,3762435,(2016 VA),0.3796091286118291,0,0.012988010099999999,21.1669575533,565472.528545648,1,0.0003214045163305306,0.40601970266403237,0.9942554209083014,0.0
32,3467394,(2009 SG18),0.37841761379653216,1,1.2576002553,34.3334763482,17071549.06933131,1,0.03511582098658792,0.6621200470449149,0.7731575866430467,0.0
33,2523664,523664 (2012 OD1),0.3780660538823557,1,0.85024212245,23.6853351596,5717301.610724083,1,0.02372770506406482,0.45500435702113956,0.9252470015083396,0.0
34,3893213,(2019 VS5),0.3763629705448526,0,0.0980714546,26.4929380349,10320977.663278889,2,0.0026999997889339353,0.50961469665986,0.8635810567053093,0.14285714285714285
35,2523808,523808 (2007 ML24),0.3758470743556976,1,0.58015309955,17.9047528056,3476894.513622628,2,0.016177088409704846,0.34256695768708917,0.9552571105622785,0.14285714285714285
36,3552654,(2010 WU8),0.3752643247178671,0,0.06216452459999999,17.9380564609,9322729.148191584,4,0.0016961845995794264,0.3432147430071371,0.8769525313982167,0.42857142857142855
37,3587871,(2011 VG9),0.37468847662920485,0,0.14372840855,23.7554264314,4659617.637488974,1,0.003976386934108123,0.45636769376380437,0.939414610342669,0.0
38,3989144,(2020 BC6),0.3741385168397101,1,0.29076532705,22.182959458,3683381.686023033,1,0.008086955344890696,0.4257818312675391,0.95249122816082,0.0
39,3781414,(2017 RX2),0.37356721439918944,0,0.0210640859,24.7411510392,12661559.623033555,3,0.0005471795285194972,0.4755409023738185,0.8322291118052978,0.2857142857142857
40,3394071,(2007 VY137),0.3734676166150006,0,0.05591683955,19.4686764329,7679200.034479553,3,0.0015215241328814077,0.3729866446047935,0.8989674982315359,0.2857142857142857
